,LOCATION,TIME,Value,Pais
165,CHL,2017,3.0,Chile
166,CHL,2018,4.8,Chile
167,CHL,2019,2.3,Chile
168,CHL,2020,1.8,Chile
169,CHL,2021,3.5,Chile
170,DEU,2005,0.3,Alemania
171,DEU,2006,3.1,Alemania
172,DEU,2007,1.7,Alemania
173,DEU,2008,0.9,Alemania
174,DEU,2009,-3.2,Alemania
175,DEU,2010,3.0,Alemania
176,DEU,2011,3.3,Alemania
177,DEU,2012,-0.8,Alemania
178,DEU,2013,1.2,Alemania
179,DEU,2014,1.7,Alemania
180,DEU,2015,1.5,Alemania
181,DEU,2016,3.0,Alemania
182,DEU,2017,2.6,Alemania
183,DEU,2018,2.1,Alemania
184,DEU,2019,1.2,Alemania
185,DEU,2020,1.2,Alemania
186,DEU,2021,1.4,Alemania
187,BEL,2005,3.0,Belgica
188,BEL,2006,2.0,Belgica
189,BEL,2007,3.5,Belgica
190,BEL,2008,1.9,Belgica
191,BEL,2009,-1.4,Belgica
192,BEL,2010,2.2,Belgica
193,BEL,2011,2.4,Belgica
194,BEL,2012,0.6,Belgica
195,BEL,2013,0.0,Belgica
196,BEL,2014,1.8,Belgica
197,BEL,2015,2.2,Belgica
198,BEL,2016,2.2,Belgica
199,BEL,2017,1.2,Belgica
200,BEL,2018,2.2,Belgica
201,BEL,2019,-3.9,Belgica
202,BEL,2020,1.4,Belgica
203,BEL,2021,1.3,Belgica
204,DNK,2005,3.5,Dinamarca
205,DNK,2006,5.2,Dinamarca
206,DNK,2007,1.8,Dinamarca
207,DNK,2008,-0.2,Dinamarca
208,DNK,2009,-6.1,Dinamarca
209,DNK,2010,0.7,Dinamarca
210,DNK,2011,1.0,Dinamarca
211,DNK,2012,0.9,Dinamarca
212,DNK,2013,0.8,Dinamarca
213,DNK,2014,1.9,Dinamarca
214,DNK,2015,2.8,Dinamarca
215,DNK,2016,3.0,Dinamarca
216,DNK,2017,1.6,Dinamarca
217,DNK,2018,3.1,Dinamarca
218,DNK,2019,0.3,Dinamarca
219,DNK,2020,2.2,Dinamarca
220,DNK,2021,1.8,Dinamarca
221,SWE,2005,2.9,Suiza
222,SWE,2006,4.5,Suiza
223,SWE,2007,5.0,Suiza
224,SWE,2008,-0.1,Suiza
225,SWE,2009,-3.6,Suiza
226,SWE,2010,5.9,Suiza
227,SWE,2011,3.1,Suiza
228,SWE,2012,-0.5,Suiza
229,SWE,2013,1.6,Suiza
230,SWE,2014,3.5,Suiza
231,SWE,2015,3.9,Suiza
232,SWE,2016,2.6,Suiza
233,SWE,2017,2.7,Suiza
234,SWE,2018,2.7,Suiza
235,SWE,2019,0.5,Suiza
236,SWE,2020,1.4,Suiza
237,SWE,2021,1.2,Suiza
238,IRL,2005,10.1,Irlanda
239,IRL,2006,6.8,Irlanda
240,IRL,2007,3.9,Irlanda
241,IRL,2008,-3.8,Irlanda
242,IRL,2009,-8.1,Irlanda
243,IRL,2010,-3.5,Irlanda
244,IRL,2011,-0.7,Irlanda
245,IRL,2012,2.8,Irlanda
246,IRL,2013,-1.1,Irlanda
247,IRL,2014,8.7,Irlanda
248,IRL,2015,16.6,Irlanda
249,IRL,2016,21.8,Irlanda
250,IRL,2017,11.4,Irlanda
251,IRL,2018,-6.4,Irlanda
252,IRL,2019,22.2,Irlanda
253,IRL,2020,-7.9,Irlanda
254,IRL,2021,3.2,Irlanda
255,NOR,2005,5.4,Noruega
256,NOR,2006,6.2,Noruega
257,NOR,2007,6.2,Noruega
258,NOR,2008,1.6,Noruega
259,NOR,2009,-3.4,Noruega
260,NOR,2010,3.2,Noruega
261,NOR,2011,2.7,Noruega
262,NOR,2012,3.2,Noruega
263,NOR,2013,3.6,Noruega
264,NOR,2014,1.3,Noruega
265,NOR,2015,0.9,Noruega
266,NOR,2016,1.6,Noruega
267,NOR,2017,2.4,Noruega
268,NOR,2018,2.1,Noruega
269,NOR,2019,2.4,Noruega
270,NOR,2020,2.1,Noruega
271,NOR,2021,1.9,Noruega
272,ISR,2005,3.5,Israel
273,ISR,2006,4.9,Israel
274,ISR,2007,6.3,Israel
275,ISR,2008,2.1,Israel
276,ISR,2009,-0.1,Israel
277,ISR,2010,5.4,Israel
278,ISR,2011,5.7,Israel
279,ISR,2012,3.1,Israel
280,ISR,2013,3.0,Israel
281,ISR,2014,4.4,Israel
282,ISR,2015,3.2,Israel
283,ISR,2016,6.7,Israel
284,ISR,2017,3.8,Israel
285,ISR,2018,3.6,Israel
286,ISR,2019,2.2,Israel
287,ISR,2020,2.6,Israel
288,ISR,2021,2.7,Israel
289,HUN,2005,1.6,Hungría
290,HUN,2006,1.9,Hungría
291,HUN,2007,-1.1,Hungría
292,HUN,2008,0.6,Hungría
293,HUN,2009,-10.0,Hungría
294,HUN,2010,-0.7,Hungría
295,HUN,2011,-0.1,Hungría
296,HUN,2012,-2.9,Hungría
297,HUN,2013,2.0,Hungría
298,HUN,2014,5.3,Hungría
299,HUN,2015,2.4,Hungría
300,HUN,2016,1.6,Hungría
301,HUN,2017,5.2,Hungría
302,HUN,2018,7.3,Hungría
303,HUN,2019,5.4,Hungría
304,HUN,2020,3.8,Hungría
305,HUN,2021,3.2,Hungría
306,ISL,2005,13.7,Islandia
307,ISL,2006,9.7,Islandia
308,ISL,2007,1.4,Islandia
309,ISL,2008,-6.5,Islandia
310,ISL,2009,-17.1,Islandia
311,ISL,2010,-2.9,Islandia
312,ISL,2011,2.7,Islandia
313,ISL,2012,1.2,Islandia
314,ISL,2013,1.6,Islandia
315,ISL,2014,4.0,Islandia
316,ISL,2015,5.7,Islandia
317,ISL,2016,7.4,Islandia
318,ISL,2017,7.0,Islandia
319,ISL,2018,4.6,Islandia
320,ISL,2019,-0.6,Islandia
321,ISL,2020,2.8,Islandia
322,ISL,2021,2.6,Islandia
323,CZE,2005,3.4,Republica Checa
324,CZE,2006,5.1,Republica Checa
325,CZE,2007,6.6,Republica Checa
326,CZE,2008,1.9,Republica Checa
327,CZE,2009,-5.3,Republica Checa
328,CZE,2010,1.7,Republica Checa
329,CZE,2011,-0.0,Republica Checa
330,CZE,2012,-2.1,Republica Checa
331,CZE,2013,-0.6,Republica Checa
332,CZE,2014,3.4,Republica Checa
333,CZE,2015,5.9,Republica Checa
334,CZE,2016,1.0,Republica Checa
335,CZE,2017,3.7,Republica Checa
336,CZE,2018,4.0,Republica Checa
337,CZE,2019,2.3,Republica Checa
338,CZE,2020,2.0,Republica Checa
339,CZE,2021,2.4,Republica Checa
340,SVN,2005,1.7,Slovenia
341,SVN,2006,4.8,Slovenia
342,SVN,2007,9.1,Slovenia
343,SVN,2008,3.5,Slovenia
344,SVN,2009,-9.0,Slovenia
345,SVN,2010,-0.8,Slovenia
346,SVN,2011,-0.2,Slovenia
347,SVN,2012,-5.5,Slovenia
348,SVN,2013,-1.9,Slovenia
349,SVN,2014,1.3,Slovenia
350,SVN,2015,1.7,Slovenia
351,SVN,2016,3.0,Slovenia
352,SVN,2017,4.2,Slovenia
353,SVN,2018,4.7,Slovenia
354,SVN,2019,3.7,Slovenia
355,SVN,2020,4.1,Slovenia
356,SVN,2021,4.0,Slovenia
357,AUS,2005,4.4,Australia
358,AUS,2006,3.7,Australia
359,AUS,2007,6.7,Australia
360,AUS,2008,3.4,Australia
361,AUS,2009,0.3,Australia
362,AUS,2010,4.0,Australia
363,AUS,2011,5.1,Australia
364,AUS,2012,4.2,Australia
365,AUS,2013,0.3,Australia
366,AUS,2014,1.0,Australia
367,AUS,2015,1.3,Australia
368,AUS,2016,1.9,Australia
369,AUS,2017,2.9,Australia
370,AUS,2018,2.9,Australia
371,AUS,2019,0.7,Australia
372,AUS,2020,2.0,Australia
373,AUS,2021,2.3,Australia
374,AUT,2005,2.1,Austrua
375,AUT,2006,2.3,Austrua
376,AUT,2007,2.5,Austrua
377,AUT,2008,1.6,Austrua
378,AUT,2009,-2.3,Austrua
379,AUT,2010,1.0,Austrua
380,AUT,2011,2.6,Austrua
381,AUT,2012,0.1,Austrua
382,AUT,2013,-0.1,Austrua
383,AUT,2014,0.6,Austrua
384,AUT,2015,1.2,Austrua
385,AUT,2016,2.2,Austrua
386,AUT,2017,2.1,Austrua
387,AUT,2018,1.8,Austrua
388,AUT,2019,1.6,Austrua
389,AUT,2020,1.6,Austrua
390,AUT,2021,1.4,Austrua
391,SVK,2005,8.3,Republica Eslovaca
392,SVK,2006,6.4,Republica Eslovaca
393,SVK,2007,7.0,Republica Eslovaca
394,SVK,2008,6.9,Republica Eslovaca
395,SVK,2009,-7.4,Republica Eslovaca
396,SVK,2010,5.3,Republica Eslovaca
397,SVK,2011,0.7,Republica Eslovaca
398,SVK,2012,-4.1,Republica Eslovaca
399,SVK,2013,-0.1,Republica Eslovaca
400,SVK,2014,3.5,Republica Eslovaca
401,SVK,2015,6.4,Republica Eslovaca
402,SVK,2016,1.8,Republica Eslovaca
403,SVK,2017,3.3,Republica Eslovaca
404,SVK,2018,3.6,Republica Eslovaca
405,SVK,2019,2.7,Republica Eslovaca
406,SVK,2020,2.6,Republica Eslovaca
407,SVK,2021,2.7,Republica Eslovaca
408,NZL,2005,4.6,Nueva Zelanda
409,NZL,2006,1.5,Nueva Zelanda
410,NZL,2007,5.3,Nueva Zelanda
411,NZL,2008,1.0,Nueva Zelanda
412,NZL,2009,-4.8,Nueva Zelanda
413,NZL,2010,3.8,Nueva Zelanda
414,NZL,2011,3.3,Nueva Zelanda
415,NZL,2012,2.7,Nueva Zelanda
416,NZL,2013,3.7,Nueva Zelanda
417,NZL,2014,4.4,Nueva Zelanda
418,NZL,2015,3.0,Nueva Zelanda
419,NZL,2016,4.6,Nueva Zelanda
420,NZL,2017,3.9,Nueva Zelanda
421,NZL,2018,3.7,Nueva Zelanda
422,NZL,2019,2.1,Nueva Zelanda
423,NZL,2020,3.0,Nueva Zelanda
424,NZL,2021,2.6,Nueva Zelanda
425,EST,2005,7.7,Estonia
426,EST,2006,17.8,Estonia
427,EST,2007,9.3,Estonia
428,EST,2008,-8.4,Estonia
429,EST,2009,-20.4,Estonia
430,EST,2010,0.4,Estonia
431,EST,2011,9.1,Estonia
432,EST,2012,7.7,Estonia
433,EST,2013,1.7,Estonia
434,EST,2014,3.5,Estonia
435,EST,2015,1.8,Estonia
436,EST,2016,4.9,Estonia
437,EST,2017,4.3,Estonia
438,EST,2018,3.8,Estonia
439,EST,2019,4.8,Estonia
440,EST,2020,2.4,Estonia
441,EST,2021,2.7,Estonia
442,USA,2005,3.6,Estados Unidos
443,USA,2006,2.8,Estados Unidos
444,USA,2007,1.3,Estados Unidos
445,USA,2008,-1.1,Estados Unidos
446,USA,2009,-3.5,Estados Unidos
447,USA,2010,3.0,Estados Unidos
448,USA,2011,1.5,Estados Unidos
449,USA,2012,2.2,Estados Unidos
450,USA,2013,1.6,Estados Unidos
451,USA,2014,2.7,Estados Unidos
452,USA,2015,3.6,Estados Unidos
453,USA,2016,1.9,Estados Unidos
454,USA,2017,2.6,Estados Unidos
455,USA,2018,3.1,Estados Unidos
456,USA,2019,2.5,Estados Unidos
457,USA,2020,2.2,Estados Unidos
458,USA,2021,2.1,Estados Unidos
459,KOR,2005,3.9,Corea
460,KOR,2006,5.3,Corea
461,KOR,2007,5.3,Corea
462,KOR,2008,1.4,Corea
463,KOR,2009,-2.4,Corea
464,KOR,2010,8.4,Corea
465,KOR,2011,3.0,Corea
466,KOR,2012,0.6,Corea
467,KOR,2013,1.9,Corea
468,KOR,2014,2.8,Corea
469,KOR,2015,3.8,Corea
470,KOR,2016,4.1,Corea
471,KOR,2017,5.6,Corea
472,KOR,2018,1.7,Corea
473,KOR,2019,1.1,Corea
474,KOR,2020,2.0,Corea
475,KOR,2021,2.5,Corea
476,GRC,2005,0.2,Grecia
477,GRC,2006,7.9,Grecia
478,GRC,2007,5.4,Grecia
479,GRC,2008,-0.7,Grecia
480,GRC,2009,-6.2,Grecia
481,GRC,2010,-6.5,Grecia
482,GRC,2011,-11.2,Grecia
483,GRC,2012,-10.0,Grecia
484,GRC,2013,-3.9,Grecia
485,GRC,2014,1.0,Grecia
486,GRC,2015,-1.1,Grecia
487,GRC,2016,0.4,Grecia
488,GRC,2017,2.0,Grecia
489,GRC,2018,0.4,Grecia
490,GRC,2019,0.9,Grecia
491,GRC,2020,2.3,Grecia
492,GRC,2021,2.2,Grecia
493,ESP,2005,5.0,España
494,ESP,2006,5.1,España
495,ESP,2007,4.0,España
496,ESP,2008,-0.6,España
497,ESP,2009,-6.2,España
498,ESP,2010,-0.4,España
499,ESP,2011,-3.1,España
500,ESP,2012,-4.9,España
501,ESP,2013,-2.9,España
502,ESP,2014,1.9,España
503,ESP,2015,4.1,España
504,ESP,2016,2.1,España
505,ESP,2017,3.1,España
506,ESP,2018,2.7,España
507,ESP,2019,1.8,España
508,ESP,2020,2.2,España
509,ESP,2021,1.6,España
510,NLD,2005,1.6,Paises Bajos
511,NLD,2006,3.5,Paises Bajos
512,NLD,2007,5.2,Paises Bajos
513,NLD,2008,0.6,Paises Bajos
514,NLD,2009,-2.7,Paises Bajos
515,NLD,2010,-0.1,Paises Bajos
516,NLD,2011,0.3,Paises Bajos
517,NLD,2012,-2.2,Paises Bajos
518,NLD,2013,-0.6,Paises Bajos
519,NLD,2014,0.1,Paises Bajos
520,NLD,2015,6.7,Paises Bajos
521,NLD,2016,-0.8,Paises Bajos
522,NLD,2017,2.4,Paises Bajos
523,NLD,2018,2.1,Paises Bajos
524,NLD,2019,2.3,Paises Bajos
525,NLD,2020,2.0,Paises Bajos
526,NLD,2021,1.6,Paises Bajos
527,GBR,2005,3.0,Reino Unido
528,GBR,2006,2.4,Reino Unido
529,GBR,2007,2.1,Reino Unido
530,GBR,2008,-1.1,Reino Unido
531,GBR,2009,-4.3,Reino Unido
532,GBR,2010,2.6,Reino Unido
533,GBR,2011,-0.0,Reino Unido
534,GBR,2012,1.9,Reino Unido
535,GBR,2013,2.8,Reino Unido
536,GBR,2014,3.4,Reino Unido
537,GBR,2015,2.9,Reino Unido
538,GBR,2016,2.4,Reino Unido
539,GBR,2017,1.2,Reino Unido
540,GBR,2018,1.4,Reino Unido
541,GBR,2019,1.6,Reino Unido
542,GBR,2020,-0.3,Reino Unido
543,GBR,2021,1.1,Reino Unido
544,JPN,2005,1.4,Japon
545,JPN,2006,0.6,Japon
546,JPN,2007,0.6,Japon
547,JPN,2008,-1.3,Japon
548,JPN,2009,-4.0,Japon
549,JPN,2010,2.4,Japon
550,JPN,2011,0.7,Japon
551,JPN,2012,2.3,Japon
552,JPN,2013,2.4,Japon
553,JPN,2014,0.4,Japon
554,JPN,2015,0.8,Japon
555,JPN,2016,0.0,Japon
556,JPN,2017,1.4,Japon
557,JPN,2018,0.8,Japon
558,JPN,2019,1.3,Japon
559,JPN,2020,0.5,Japon
560,JPN,2021,0.5,Japon
561,PRT,2005,1.3,Portugal
562,PRT,2006,0.8,Portugal
563,PRT,2007,2.4,Portugal
564,PRT,2008,1.1,Portugal
565,PRT,2009,-3.5,Portugal
566,PRT,2010,1.7,Portugal
567,PRT,2011,-5.6,Portugal
568,PRT,2012,-7.1,Portugal
569,PRT,2013,-1.9,Portugal
570,PRT,2014,2.1,Portugal
571,PRT,2015,2.4,Portugal
572,PRT,2016,2.2,Portugal
573,PRT,2017,3.4,Portugal
574,PRT,2018,3.3,Portugal
575,PRT,2019,2.9,Portugal
576,PRT,2020,1.9,Portugal
577,PRT,2021,1.9,Portugal
578,CAN,2005,5.0,Canada
579,CAN,2006,4.2,Canada
580,CAN,2007,3.7,Canada
581,CAN,2008,2.8,Canada
582,CAN,2009,-2.9,Canada
583,CAN,2010,5.2,Canada
584,CAN,2011,3.4,Canada
585,CAN,2012,2.1,Canada
586,CAN,2013,2.2,Canada
587,CAN,2014,1.7,Canada
588,CAN,2015,-0.1,Canada
589,CAN,2016,0.7,Canada
590,CAN,2017,3.9,Canada
591,CAN,2018,1.8,Canada
592,CAN,2019,1.0,Canada
593,CAN,2020,1.3,Canada
594,CAN,2021,1.5,Canada
595,COL,2005,6.1,Colombia
596,COL,2006,8.7,Colombia
597,COL,2007,8.3,Colombia
598,COL,2008,4.9,Colombia
599,COL,2009,0.2,Colombia
600,COL,2010,5.9,Colombia
601,COL,2011,9.2,Colombia
602,COL,2012,4.8,Colombia
603,COL,2013,5.1,Colombia
604,COL,2014,6.2,Colombia
605,COL,2015,2.4,Colombia
606,COL,2016,1.2,Colombia
607,COL,2017,1.2,Colombia
608,COL,2018,3.9,Colombia
609,COL,2019,4.6,Colombia
610,COL,2020,4.2,Colombia
611,COL,2021,3.7,Colombia
612,LVA,2005,9.3,Lavia
613,LVA,2006,18.3,Lavia
614,LVA,2007,12.5,Lavia
615,LVA,2008,-8.6,Lavia
616,LVA,2009,-23.2,Lavia
617,LVA,2010,-4.5,Lavia
618,LVA,2011,11.9,Lavia
619,LVA,2012,1.8,Lavia
620,LVA,2013,1.9,Lavia
621,LVA,2014,-0.1,Lavia
622,LVA,2015,2.5,Lavia
623,LVA,2016,1.7,Lavia
624,LVA,2017,5.0,Lavia
625,LVA,2018,6.2,Lavia
626,LVA,2019,4.2,Lavia
627,LVA,2020,4.1,Lavia
628,LVA,2021,3.3,Lavia
629,CHN,2005,9.2,China
630,CHN,2006,10.7,China
631,CHN,2007,12.6,China
632,CHN,2008,8.8,China
633,CHN,2009,14.0,China
634,CHN,2010,8.7,China
635,CHN,2011,9.8,China
636,CHN,2012,8.1,China
637,CHN,2013,8.0,China
638,CHN,2014,8.3,China
639,CHN,2015,8.4,China
640,CHN,2016,7.7,China
641,CHN,2017,5.9,China
642,CHN,2018,7.1,China
643,CHN,2019,5.2,China
644,CHN,2020,5.9,China
645,CHN,2021,5.5,China
646,IND,2005,9.1,Indonesia
647,IND,2006,8.5,Indonesia
648,IND,2007,8.5,Indonesia
649,IND,2008,5.2,Indonesia
650,IND,2009,8.0,Indonesia
651,IND,2010,8.1,Indonesia
652,IND,2011,6.9,Indonesia
653,IND,2012,5.4,Indonesia
654,IND,2013,1.8,Indonesia
655,IND,2014,7.1,Indonesia
656,IND,2015,7.7,Indonesia
657,IND,2016,8.0,Indonesia
658,IND,2017,9.9,Indonesia
659,IND,2018,7.7,Indonesia
660,IND,2019,5.0,Indonesia
661,IND,2020,6.1,Indonesia
662,IND,2021,6.5,Indonesia
663,LTU,2005,9.3,Lituania
664,LTU,2006,8.9,Lituania
665,LTU,2007,15.3,Lituania
666,LTU,2008,3.3,Lituania
667,LTU,2009,-21.5,Lituania
668,LTU,2010,2.8,Lituania
669,LTU,2011,5.9,Lituania
670,LTU,2012,-0.3,Lituania
671,LTU,2013,1.8,Lituania
672,LTU,2014,3.6,Lituania
673,LTU,2015,6.8,Lituania
674,LTU,2016,1.7,Lituania
675,LTU,2017,2.8,Lituania
676,LTU,2018,3.4,Lituania
677,LTU,2019,2.0,Lituania
678,LTU,2020,3.8,Lituania
679,LTU,2021,3.1,Lituania
680,CRI,2005,4.2,Costa Rica
681,CRI,2006,7.2,Costa Rica
682,CRI,2007,9.0,Costa Rica
683,CRI,2008,6.1,Costa Rica
684,CRI,2009,-4.8,Costa Rica
685,CRI,2010,7.8,Costa Rica
686,CRI,2011,5.6,Costa Rica
687,CRI,2012,5.6,Costa Rica
688,CRI,2013,1.7,Costa Rica
689,CRI,2014,3.5,Costa Rica
690,CRI,2015,4.2,Costa Rica
691,CRI,2016,4.3,Costa Rica
692,CRI,2017,2.8,Costa Rica
693,CRI,2018,1.2,Costa Rica
694,CRI,2019,1.2,Costa Rica
695,CRI,2020,1.6,Costa Rica
696,CRI,2021,2.1,Costa Rica
697,ARG,2005,9.1,Argentina
698,ARG,2006,9.3,Argentina
699,ARG,2007,11.3,Argentina
700,ARG,2008,6.9,Argentina
701,ARG,2009,-7.9,Argentina
702,ARG,2010,14.2,Argentina
703,ARG,2011,10.2,Argentina
704,ARG,2012,-1.3,Argentina
705,ARG,2013,4.0,Argentina
706,ARG,2014,-3.9,Argentina
707,ARG,2015,4.2,Argentina
708,ARG,2016,-1.6,Argentina
709,ARG,2017,6.0,Argentina
710,ARG,2018,-3.4,Argentina
711,ARG,2019,-8.8,Argentina
712,ARG,2020,-2.0,Argentina
713,ARG,2021,0.5,Argentina
714,EA17,2005,2.0,Euro Area(17 países)
715,EA17,2006,3.2,Euro Area(17 países)
716,EA17,2007,2.9,Euro Area(17 países)
717,EA17,2008,0.2,Euro Area(17 países)
718,EA17,2009,-3.9,Euro Area(17 países)
719,EA17,2010,1.5,Euro Area(17 países)
720,EA17,2011,0.8,Euro Area(17 países)
721,EA17,2012,-2.3,Euro Area(17 países)
722,EA17,2013,-0.5,Euro Area(17 países)
723,EA17,2014,1.4,Euro Area(17 países)
724,EA17,2015,2.3,Euro Area(17 países)
725,EA17,2016,2.4,Euro Area(17 países)
726,EA17,2017,2.6,Euro Area(17 países)
727,EA17,2018,1.6,Euro Area(17 países)
728,EA17,2019,1.4,Euro Area(17 países)
729,EA17,2020,1.2,Euro Area(17 países)
730,EA17,2021,1.4,Euro Area(17 países)
731,RUS,2015,-8.8,Rusia
732,RUS,2016,-1.1,Rusia
733,RUS,2017,3.9,Rusia
734,RUS,2018,1.6,Rusia
735,RUS,2019,2.5,Rusia
736,RUS,2020,2.3,Rusia
737,RUS,2021,1.5,Rusia
738,BGR,2005,9.9,Bulgaria
739,BGR,2006,11.0,Bulgaria
740,BGR,2007,10.3,Bulgaria
741,BGR,2008,6.9,Bulgaria
742,BGR,2009,-10.6,Bulgaria
743,BGR,2010,-4.3,Bulgaria
744,BGR,2011,1.1,Bulgaria
745,BGR,2012,2.2,Bulgaria
746,BGR,2013,-2.7,Bulgaria
747,BGR,2014,3.2,Bulgaria
